Variable,Statistic,Ischemic,ICH,SAH,TIA,Other,p-value
N,n,4162,3126,827,251,1986,
Age (years),Median (IQR),70.0 (59.0-80.0),69.0 (58.0-80.0),61.0 (51.0-72.0),70.0 (57.0-79.0),66.0 (56.0-75.0),<0.001
Gender — F,n (%),1994 (47.9%),1358 (43.4%),465 (56.2%),123 (49.0%),1122 (56.5%),<0.001
Gender — M,n (%),2168 (52.1%),1768 (56.6%),362 (43.8%),128 (51.0%),864 (43.5%),
Stroke subtype — Ischemic,n (%),4162 (100.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),
Stroke subtype — ICH,n (%),0 (0.0%),3126 (100.0%),0 (0.0%),0 (0.0%),0 (0.0%),
Stroke subtype — SAH,n (%),0 (0.0%),0 (0.0%),827 (100.0%),0 (0.0%),0 (0.0%),
Stroke subtype — TIA,n (%),0 (0.0%),0 (0.0%),0 (0.0%),251 (100.0%),0 (0.0%),
Stroke subtype — Other,n (%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),1986 (100.0%),
Hypertension,n (%),2133 (51.2%),1848 (59.1%),405 (49.0%),119 (47.4%),947 (47.7%),<0.001
Diabetes,n (%),1354 (32.5%),766 (24.5%),111 (13.4%),76 (30.3%),475 (23.9%),<0.001
Atrial Fibrillation,n (%),1609 (38.7%),801 (25.6%),126 (15.2%),71 (28.3%),437 (22.0%),<0.001
Dyslipidemia,n (%),2348 (56.4%),1288 (41.2%),259 (31.3%),145 (57.8%),1068 (53.8%),<0.001
CKD,n (%),865 (20.8%),405 (13.0%),62 (7.5%),56 (22.3%),313 (15.8%),<0.001
CAD,n (%),1072 (25.8%),447 (14.3%),84 (10.2%),75 (29.9%),635 (32.0%),<0.001
Glucose (mg/dL),Median (IQR),122.0 (101.0-156.0),125.0 (105.0-156.0),129.0 (107.0-156.0),116.0 (99.0-150.0),121.0 (98.0-153.8),<0.001
Sodium (mEq/L),Median (IQR),139.0 (137.0-141.5),139.0 (137.0-142.0),139.0 (137.0-141.0),139.0 (137.0-141.0),139.0 (137.0-141.0),0.192
Creatinine (mg/dL),Median (IQR),1.0 (0.8-1.3),0.9 (0.7-1.1),0.8 (0.6-1.0),0.9 (0.7-1.3),0.9 (0.7-1.2),<0.001
Hemoglobin (g/dL),Median (IQR),11.7 (10.0-13.3),12.2 (10.7-13.5),12.3 (11.1-13.6),11.7 (10.1-13.0),11.6 (10.0-13.1),<0.001
Platelets (10³/µL),Median (IQR),206.0 (158.0-264.0),206.0 (159.5-259.0),215.5 (173.0-264.0),197.0 (154.5-255.5),201.0 (157.0-253.0),0.004
INR,Median (IQR),1.2 (1.1-1.4),1.2 (1.1-1.3),1.1 (1.1-1.2),1.1 (1.1-1.3),1.1 (1.1-1.3),<0.001
ICU LOS (days),Median (IQR),2.8 (1.5-5.8),2.9 (1.5-6.2),5.6 (2.0-10.8),1.9 (1.1-4.1),1.7 (0.9-3.3),<0.001
In-hospital mortality,n (%),688 (16.5%),698 (22.3%),189 (22.9%),17 (6.8%),97 (4.9%),<0.001
